book_name,aut_name,cate_descrip,pub_name,book_price
"Introduction to Electrodynamics","William Norton",Science,"New Harrold Publication",85.00
"Understanding of Steel Construction","William Maugham",Technology,"Jex Max Publication",105.50
"Guide to Networking","William Anthony",Computers,"BPP Publication",200.00
"Transfer  of Heat and Mass",S.B.Swaminathan,Technology,"Ultra Press Inc.",250.00
"Conceptual Physics","Thomas Morgan",Science,"Summer Night Publication",145.00
"Fundamentals of Heat","Thomas Merton",Science,"Mountain Publication",112.00
"Advanced 3d Graphics","Piers Gibson",Computers,"BPP Publication",56.00
"Human Anatomy","Nikolai Dewey",Medical,"Summer Night Publication",50.50
"Mental Health Nursing","Marquis de Ellis",Medical,"Pieterson Grp. of Publishers",145.00
"Fundamentals of Thermodynamics","Joseph Milton",Technology,"Pieterson Grp. of Publishers",225.00
"The Experimental Analysis of Cat","John Betjeman Hunter",Nature,"Mountain Publication",95.00
"The Nature  of World","Thomas Morgan",Nature,"Novel Publisher Ltd.",88.00
"Environment a Sustainable Future","Evan Hayek",Nature,"Jex Max Publication",100.00
"Concepts in Health","E. Howard",Medical,"Ultra Press Inc.",180.00
"Anatomy & Physiology","C. J. Wilde",Medical,"Novel Publisher Ltd.",135.00
"Networks and Telecommunications","Butler Andre",Computers,"New Harrold Publication",45.00
